500000;0;200000
500001;1;200001
500002;2;200002
500003;3;200003
500004;4;200000
500005;5;200001
500006;6;200002
500007;7;200003
500009;9;200001
500010;10;200002
500011;11;200003
500012;12;200000
500013;13;200001
500014;14;200002
500015;15;200003
500016;16;200000
500017;17;200001
500018;18;200002
500019;19;200003
500020;20;200000
500021;0;200001
500022;1;200002
500023;2;200003
500024;3;200000
500025;4;200001
500026;5;200002
500027;6;200003
500028;7;200000
500030;9;200002
500031;10;200003
500032;11;200000
500033;12;200001
500034;13;200002
500035;14;200003
500036;15;200000
500037;16;200001
500038;17;200002
500039;18;200003
500040;19;200000
500041;20;200001
500042;10000;200002
500043;10001;200003
500044;10002;200000
500045;10003;200001
500046;10004;200002
500047;10005;200003
500048;10006;200000
500049;10007;200001
500050;10008;200002
500051;10009;200003
500052;10010;200000
500053;10011;200001
500054;10012;200002
500055;10013;200003
500056;10014;200000
500057;10015;200001
500058;10016;200002
500059;10017;200003
500060;10018;200000
500061;10019;200001
500062;10020;200002
500063;10000;200003
500064;10001;200000
500065;10002;200001
500066;10003;200002
500067;10004;200003
500068;10005;200000
500069;10006;200001
500070;10007;200002
500071;10008;200003
500072;10009;200000
500073;10010;200001
500074;10011;200002
500075;10012;200003
500076;10013;200000
500077;10014;200001
500078;10015;200002
500079;10016;200003
500080;10017;200000
500081;10018;200001
500082;10019;200002
500083;10020;200003
